Latitude,Longitude,125Fd,141ETR,143GSL,144HWDI,191Tx10,192Tx90,193Tn10,194Tn90,606R10,641CDD,644R5D,646SDII,695R95T,001TxGE,002TxLE,003TnGE,004TnLE,101AnnP,102GDD5,103GDD10,104GDD0,106Prcp20,107Prcp25,108Prcp10,109GSL_B,110GSL_E
50.4353,-108.2285,-0.357142857,-0.04838031,0.216216216,0.333333333,-0.061193443,0.084299271,-0.11911853,0.182648365,0,-0.102302459,-0.064875007,-0.013660863,-0.003898325,0.12097561,-0.333333333,0.266666667,-0.357142857,0.451371683,3.074404728,1.63032143,3.800892131,0,0,0,-0.224014337,0
50.9037,-117.6057,-0.519259259,-0.153325631,0.076973684,0,-0.063844289,0,-0.173802968,0.194108714,-0.08733791,-0.066666667,0.0279249,-0.021476854,0.019331411,0,-0.113247863,0.035714286,-0.519259259,-1.95150968,1.622476304,0.148180036,0.699195328,0,0,-0.08733791,-0.104714912,0
50.7255,-112.5146,-0.166666667,-0.030463062,0.25,0.288888889,-0.062703851,0.063224435,-0.071996647,0.114155253,0,-0.075,-0.005577014,-0.012792254,-0.044678566,0.077935223,-0.375,0.2,-0.166666667,-0.345589532,1.245519511,0.60190156,3.173345947,0,0,0,-0.235828877,0
50.6395,-108.8593,-0.313392857,-0.026297862,0.241621622,0.229419703,-0.041303458,0.068493162,-0.121765587,0.174346222,0,-0.075498575,-0.033439333,-0.013418693,0.044684372,0.104355717,-0.272727273,0.281025641,-0.313392857,0.006617515,2.448155536,1.167894151,3.071657777,0,0,0,-0.25,0
50.7733,-118.2883,-0.4,-0.142581711,0.192460317,-0.086335404,-0.032044669,-0.015220695,-0.177828509,0.216762237,0.125,-0.090909091,0.187299967,-0.005527107,0.153260553,0.037749288,-0.047619048,0.050641026,-0.4,1.905146928,1.571274999,-0.060050286,1.605472789,0.022727273,0,0.125,-0.131884058,0.067424242
50.8402,-119.8209,-0.369395712,-0.090312354,0.072299652,-0.111111111,-0.048348111,0.025730223,-0.180763639,0.190311973,0.137931034,-0.085714286,0.243690582,0.008037328,0.238000284,0.027046784,-0.142857143,0.086335404,-0.369395712,3.605530551,1.288679335,0.280369585,0.806826229,0,0,0.137931034,-0.065942029,0
50.5618,-114.7918,-0.631578947,-0.182358659,0.126602564,-0.19047619,-0.058972865,-0.066386658,-0.201738514,0.239726037,-0.041666667,-0.03452381,-0.112855686,-0.02896672,-0.071692171,0,0.17467582,0.472953216,-0.631578947,-0.264692586,0.634146522,-0.059114002,0.728051794,0,0,-0.041666667,-0.126329787,-0.009090909
50.8173,-108.0407,-0.333333333,-0.030361089,0.162790698,0.4,-0.050067347,0.086105667,-0.120205483,0.187794439,0,-0.0625,0.033588589,-0.010822685,0.117022833,0.114379085,-0.344965675,0.244070601,-0.333333333,0.909735354,3.223168146,1.803707886,3.108387187,0,0,0,-0.2,0
50.8982,-110.5313,-0.25,-0.054872756,0.170289855,0.333333333,-0.039138944,0.091324224,-0.106544899,0.152207004,0,-0.050641026,0.055928557,-0.011895305,0.052859679,0.166666667,-0.333333333,0.25,-0.25,0.195140738,1.982972424,1.105153593,2.814131086,0,0,0,-0.258064516,-0.040833333
50.3844,-115.3037,-0.2,-0.082413838,0.025320513,-0.216538789,-0.039138947,-0.040950147,-0.121765667,0.06849316,0,-0.033908046,-0.148233066,-0.026696367,-0.082759521,0.03030303,0.125,0.234042553,-0.2,0.318545069,0.216027327,0.16075674,0.529784061,0,0,0,-0.157378741,-0.048809524
50.5279,-120.404,-0.418010753,-0.074158782,0.266499283,0.048809524,-0.064888239,0.073761857,-0.150684923,0.209508461,0.028571429,-0.022739018,0.053016828,-0.001394553,0.097917035,0.113961039,-0.278423773,0.076923077,-0.418010753,0.740975278,3.016333221,1.242913382,3.892196219,0,0,0.028571429,-0.086335404,0.186970339
50.7842,-116.2127,-0.285714286,-0.012363966,0.201851852,0,-0.07125053,0.083841119,-0.095204247,0.173422794,0,-0.071428571,-0.113058825,-0.021134365,-0.012935666,0.211323764,-0.198039216,0.0625,-0.285714286,0.277203623,2.310331217,1.247808184,2.906644445,0,0,0,-0.25,0
50.4109,-114.5839,-0.153010033,-0.11666662,0.166666667,-0.105263158,-0.047997766,-0.019569465,-0.12764149,0.102739751,-0.091750842,-0.045454545,-0.133324131,-0.034575415,-0.14604806,0.043478261,-0.028991597,0.293400287,-0.153010033,-1.110110278,0.184530935,0.099422826,1.638727166,0,0,-0.091750842,-0.19047619,0
50.6549,-117.9325,-0.4,-0.133911761,0.25,-0.125,-0.041920553,0,-0.171232879,0.220700158,0.11451049,-0.09646402,0.141009679,-0.007619064,0.145261074,0.045454545,-0.076923077,0.043478261,-0.4,1.182274955,1.942398071,0.220674938,2.521610549,0.035714286,0,0.11451049,-0.125,0.105823068
50.8156,-108.9086,-0.3,-0.014575223,0.222222222,0.243434343,-0.039138944,0.06849314,-0.115356878,0.176700806,0,0,0.020444531,-0.009249372,0.048644881,0.090909091,-0.285714286,0.272727273,-0.3,0.184980856,2.243459066,0.937996501,3.157525499,0,0,0,-0.239565217,0
50.3787,-118.3909,-0.596875,-0.110278024,0.206730769,-0.022497472,-0.021074818,0.01797024,-0.244178909,0.273972617,0.318665377,-0.049390244,0.382905485,0.007334224,0.22698786,0,-0.083333333,0.095238095,-0.596875,4.650443251,1.923457077,0.605422274,2.60386885,0.033333333,0,0.318665377,-0.075498575,0.104915627
50.5221,-112.0058,-0.2,-0.053455897,0.275431034,0.452830189,-0.068493153,0.073761867,-0.07305935,0.136986289,0,-0.1222001,-0.003585387,-0.0149541,-0.105903149,0.107539315,-0.377155172,0.244173442,-0.2,-0.417714873,1.964789373,1.104404217,3.792735073,0,0,0,-0.273863636,0
50.6985,-119.596,-0.343303571,-0.068965342,0.270509978,0,-0.041971025,0.021917801,-0.149439602,0.179646909,0.1,-0.055555556,0.105019872,0.004103558,0.182080354,0.076923077,-0.112698413,0.057417582,-0.343303571,2.036396969,2.46875766,0.826702101,3.24065356,0,0,0.1,-0.142857143,0.128618693
50.6158,-111.312,-0.183673469,-0.039999994,0.22718894,0.363636364,-0.049368432,0.094473313,-0.068493158,0.132925691,0,-0.066666667,0.099204565,-0.013730042,0.05917995,0.133333333,-0.333333333,0.25,-0.183673469,0.113170723,1.528110019,0.933580724,3.049715239,0,0,0,-0.285714286,-0.022991543
50.4155,-112.1137,-0.127016129,-0.050767097,0.269230769,0.43875,-0.062149016,0.064464162,-0.054794525,0.098390961,0,-0.056349206,-0.038140957,-0.010715157,-0.116985568,0.069805195,-0.329166667,0.194783198,-0.127016129,-0.486939589,1.365834081,0.62676715,3.396346023,0,0,0,-0.227493261,0
50.5287,-119.5072,-0.487492183,-0.098863607,0.097619048,-0.125,-0.027128651,0.018264834,-0.224604174,0.254403114,0.1875,-0.035714286,0.264279511,0.007046031,0.300655026,0.04,-0.058823529,0.090909091,-0.487492183,3.259393131,1.838477023,0.522563586,1.39697057,0,0,0.1875,-0.084294587,0.021507863
50.4963,-113.4506,-0.2,-0.032879887,0.281746032,0.3,-0.055353654,0.072578716,-0.09132417,0.124533003,-0.025978408,-0.052631579,0.05211971,-0.010198789,0.025688672,0.15,-0.28,0.21875,-0.2,-0.321888277,2.332935412,1.324940273,3.547417703,0,0,-0.025978408,-0.184697856,0.077935223
50.3852,-120.6258,-0.473684211,-0.089701557,0.12347561,0.063164894,-0.065942385,0.063224481,-0.186845281,0.238237039,0.022474747,-0.034482759,-0.019767037,-0.006927543,0.070657587,0.068181818,-0.4,0.105263158,-0.473684211,0.192539215,2.424306234,1.008059968,1.9952707,0,0,0.022474747,0,0.071428571
50.5834,-120.5842,-0.5,-0.110312124,0.090909091,0,-0.062745464,0.034246564,-0.205479476,0.202722088,0.039607843,-0.068965517,0.029585903,-0.005313054,0.08520683,0.020128824,-0.278423773,0.115831843,-0.5,1.16206398,1.716010076,0.436292415,1.038543101,0,0,0.039607843,0,0.086335404
50.4589,-111.1154,-0.190982776,-0.050555272,0.25,0.301515152,-0.03913893,0.07930787,-0.077666329,0.136986295,0,-0.064583333,0.010789966,-0.014589017,-0.038375627,0.087595908,-0.296796797,0.236694678,-0.190982776,-0.042020608,1.453674495,0.701577081,3.256345943,0,0,0,-0.264232009,-0.025015635
50.6878,-110.755,-0.261904762,-0.060330213,0.236842105,0.300943396,-0.033828935,0.082191785,-0.10306281,0.158338432,0,-0.111111111,0.036948783,-0.012231974,0.011659526,0.144599303,-0.325290698,0.273618538,-0.261904762,0.281031609,1.686838786,0.899659041,3.084636758,0,0,0,-0.287301587,-0.022474747
50.3894,-110.9483,-0.207107843,-0.05509819,0.205505279,0.190748441,-0.033143996,0.07514923,-0.080383639,0.12851202,0,-0.066666667,-0.0141668,-0.014519234,-0.041181209,0.086956522,-0.271498771,0.238095238,-0.207107843,-0.184975688,1.155604436,0.620121765,2.714100865,0,0,0,-0.176470588,0
50.5355,-117.5785,-0.545454545,-0.130204065,0.142857143,-0.163265306,-0.017123282,-0.005768492,-0.228310506,0.220607347,0.25,0,0.302707323,0.005031047,0.158047847,0,0.03030303,0.142857143,-0.545454545,5.966602173,0.914498508,0.214900017,1.601429127,0.038461538,0,0.25,-0.16,0
